# TSQVT Numerical Results - Spectral Traces and SM Parameters
# Generated by sm-parameters-repo v1.0
# Author: Kerym Makraini (UNED)
# Date: 2025
#
# All values computed using 2-loop RG running
# GUT scale: Λ = 2×10¹⁶ GeV
# Electroweak scale: M_Z = 91.1876 GeV

# ============================================================
# Section 1: Spectral Action Coefficients C₄
# ============================================================
parameter,value,uncertainty,units,description
C4_U1,0.875000,0.044,dimensionless,U(1) hypercharge coefficient
C4_SU2,0.541667,0.027,dimensionless,SU(2) weak isospin coefficient
C4_SU3,0.500000,0.025,dimensionless,SU(3) color coefficient

# ============================================================
# Section 2: Gauge Couplings at GUT Scale
# ============================================================
parameter,value,uncertainty,units,description
g1_GUT,0.5787,0.029,dimensionless,U(1) gauge coupling at M_GUT
g2_GUT,0.5215,0.026,dimensionless,SU(2) gauge coupling at M_GUT
g3_GUT,0.5272,0.026,dimensionless,SU(3) gauge coupling at M_GUT
alpha1_GUT,0.02665,0.0027,dimensionless,α₁ at M_GUT
alpha2_GUT,0.02164,0.0022,dimensionless,α₂ at M_GUT
alpha3_GUT,0.02212,0.0022,dimensionless,α₃ at M_GUT
alpha1_inv_GUT,37.52,3.8,dimensionless,α₁⁻¹ at M_GUT
alpha2_inv_GUT,46.21,4.6,dimensionless,α₂⁻¹ at M_GUT
alpha3_inv_GUT,45.21,4.5,dimensionless,α₃⁻¹ at M_GUT

# ============================================================
# Section 3: Gauge Couplings at M_Z (after RG running)
# ============================================================
parameter,value,uncertainty,units,description
g1_MZ,0.4612,0.023,dimensionless,U(1) gauge coupling at M_Z
g2_MZ,0.6520,0.033,dimensionless,SU(2) gauge coupling at M_Z
g3_MZ,1.2216,0.061,dimensionless,SU(3) gauge coupling at M_Z
alpha1_MZ,0.01693,0.0017,dimensionless,α₁ at M_Z
alpha2_MZ,0.03382,0.0034,dimensionless,α₂ at M_Z
alpha3_MZ,0.11875,0.0119,dimensionless,α₃ at M_Z
alpha1_inv_MZ,59.07,5.9,dimensionless,α₁⁻¹ at M_Z
alpha2_inv_MZ,29.56,3.0,dimensionless,α₂⁻¹ at M_Z
alpha3_inv_MZ,8.42,0.84,dimensionless,α₃⁻¹ at M_Z

# ============================================================
# Section 4: Electroweak Parameters (TSQVT predictions)
# ============================================================
parameter,value,uncertainty,units,description
alpha_em_inv_MZ,128.01,0.64,dimensionless,Electromagnetic α⁻¹ at M_Z
sin2_theta_W,0.23095,0.0012,dimensionless,Weinberg angle sin²θ_W
alpha_s_MZ,0.11875,0.0059,dimensionless,Strong coupling at M_Z
MW_MZ_ratio,0.87695,0.0044,dimensionless,W/Z mass ratio

# ============================================================
# Section 5: Experimental Values (PDG 2024)
# ============================================================
parameter,value,uncertainty,units,description
alpha_em_inv_MZ_exp,127.900,0.014,dimensionless,Electromagnetic α⁻¹ at M_Z (exp)
sin2_theta_W_exp,0.23122,0.00003,dimensionless,Weinberg angle sin²θ_W (exp)
alpha_s_MZ_exp,0.1179,0.0009,dimensionless,Strong coupling at M_Z (exp)
MW_MZ_ratio_exp,0.88147,0.00013,dimensionless,W/Z mass ratio (exp)

# ============================================================
# Section 6: TSQVT vs Experiment Comparison
# ============================================================
parameter,tsqvt_value,exp_value,error_percent,status
alpha_em_inv,128.01,127.90,0.09,PASS
sin2_theta_W,0.23095,0.23122,0.12,PASS
alpha_s,0.11875,0.1179,0.72,PASS
MW_MZ_ratio,0.87695,0.88147,0.51,PASS

# ============================================================
# Section 7: RG Beta Coefficients (SM 1-loop)
# ============================================================
parameter,value,uncertainty,units,description
b1_1loop,4.100,0.0,dimensionless,U(1) beta coefficient (×10)
b2_1loop,-3.167,0.0,dimensionless,SU(2) beta coefficient
b3_1loop,-7.000,0.0,dimensionless,SU(3) beta coefficient

# ============================================================
# Section 8: Spectral Manifold Parameters
# ============================================================
parameter,value,uncertainty,units,description
volume,1.85e-61,1.0e-62,Planck_units,Spectral manifold volume
twist_angle,0.198,0.010,radians,Phase transition twist angle
h11,3,0,dimensionless,Hodge number h^{1,1}
h21,243,0,dimensionless,Hodge number h^{2,1}
euler_characteristic,-480,0,dimensionless,Euler characteristic χ
n_generations,3,0,dimensionless,Number of fermion generations

# ============================================================
# Section 9: Condensation Field Parameters
# ============================================================
parameter,value,uncertainty,units,description
rho_vev,0.742,0.037,dimensionless,Condensation VEV ⟨ρ⟩
rho_critical,0.6667,0.0,dimensionless,Critical condensation ρ_c
Lambda_eff,1.42e19,7.0e17,GeV,Effective UV cutoff
sound_speed_sq_critical,1.000,0.0,c^2,Sound speed² at ρ=2/3
poisson_ratio_limit,-0.500,0.0,dimensionless,Poisson ratio at ρ→1

# ============================================================
# Section 10: Derived Mass Hierarchy Parameters
# ============================================================
parameter,value,uncertainty,units,description
rho_gen1,0.030,0.003,dimensionless,Generation 1 condensation
rho_gen2,0.100,0.010,dimensionless,Generation 2 condensation
rho_gen3,0.500,0.050,dimensionless,Generation 3 condensation
mass_suppression_gen1,2.58e-08,2.6e-09,dimensionless,Mass suppression factor gen 1
mass_suppression_gen2,3.92e-05,3.9e-06,dimensionless,Mass suppression factor gen 2
mass_suppression_gen3,0.607,0.061,dimensionless,Mass suppression factor gen 3

# ============================================================
# Section 11: GUT Matching and Proton Decay
# ============================================================
parameter,value,uncertainty,units,description
M_GUT,2.0e16,1.0e15,GeV,GUT unification scale
proton_lifetime,1.0e35,5.0e34,years,Predicted proton lifetime
sin2_theta_W_GUT,0.375,0.019,dimensionless,sin²θ_W at GUT scale (=3/8)
